# Region type : patch top
# Faces  :    200
# Area   :    2.000000e+03
# Time        	sum(phi)
0             	0.000000e+00
31557600      	-1.900099e-01
63115200      	1.649155e-03
94672800      	1.550687e-02
126230400     	1.001174e-02
157788000     	-7.784840e-05
189345600     	-8.306768e-03
220903200     	7.224859e-03
252460800     	5.638023e-03
284018400     	2.982475e-03
315576000     	1.552843e-03
347133600     	-4.526168e-03
378691200     	-4.169090e-03
410248800     	-5.760191e-03
441806400     	-6.248180e-03
473364000     	-6.292138e-03
504921600     	-4.696425e-03
536479200     	-6.570834e-03
568036800     	-7.162857e-03
599594400     	-1.079477e-02
631152000     	-1.173043e-02
662709600     	-1.226546e-02
694267200     	-1.153870e-02
725824800     	-1.194434e-02
757382400     	-1.261623e-02
788940000     	-1.302514e-02
820497600     	-1.437900e-02
852055200     	-1.508055e-02
883612800     	-1.525420e-02
915170400     	-1.598215e-02
946728000     	-1.732369e-02
978285600     	-1.711797e-02
1009843200    	-1.761885e-02
1041400800    	-1.541778e-02
1072958400    	-1.513055e-02
1104516000    	-1.508643e-02
1136073600    	-1.546250e-02
1167631200    	-1.587427e-02
1199188800    	-1.637906e-02
1230746400    	-1.688987e-02
1262304000    	-1.718771e-02
1293861600    	-1.746178e-02
1325419200    	-1.766444e-02
1356976800    	-1.822999e-02
1388534400    	-1.810093e-02
1420092000    	-1.786973e-02
1451649600    	-1.780842e-02
1483207200    	-1.771177e-02
1514764800    	-1.785035e-02
1546322400    	-1.822743e-02
1577880000    	-1.845888e-02
1609437600    	-1.865379e-02
1640995200    	-1.890764e-02
1672552800    	-1.915417e-02
1704110400    	-1.942341e-02
1735668000    	-1.943901e-02
1767225600    	-1.897548e-02
1798783200    	-1.843825e-02
1830340800    	-1.798543e-02
1861898400    	-1.742005e-02
1893456000    	-1.703043e-02
1925013600    	-1.369730e-02
1956571200    	-1.149299e-02
1988128800    	-1.077752e-02
2019686400    	-1.021267e-02
2051244000    	-9.717448e-03
2082801600    	-9.241275e-03
2114359200    	-8.773451e-03
2145916800    	-8.318002e-03
2177474400    	-7.900244e-03
2209032000    	-7.548858e-03
2240589600    	-7.253996e-03
2272147200    	-7.001914e-03
2303704800    	-6.811399e-03
2335262400    	-6.634090e-03
2366820000    	-6.466360e-03
2398377600    	-6.310046e-03
2429935200    	-6.165301e-03
2461492800    	-6.030791e-03
2493050400    	-5.907899e-03
2524608000    	-5.793542e-03
2556165600    	-5.689664e-03
2587723200    	-5.594443e-03
2619280800    	-5.505839e-03
2650838400    	-5.422043e-03
2682396000    	-5.341437e-03
2713953600    	-5.263908e-03
2745511200    	-5.189722e-03
2777068800    	-5.117377e-03
2808626400    	-5.047054e-03
2840184000    	-4.979271e-03
2871741600    	-4.913897e-03
2903299200    	-4.850984e-03
2934856800    	-4.790673e-03
2966414400    	-4.732704e-03
2997972000    	-4.677582e-03
3029529600    	-4.625032e-03
3061087200    	-4.574669e-03
3092644800    	-4.518361e-03
3124202400    	-4.476525e-03
3155760000    	-4.436098e-03
